Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22241.01","Butter of cow milk","2022","2022","t","233702.05","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22241.01","Butter of cow milk","2022","2022","1000 USD","1729277","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1961","1961","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1961","1961","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1962","1962","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1962","1962","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1963","1963","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1963","1963","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1964","1964","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1964","1964","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1965","1965","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1965","1965","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1966","1966","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1966","1966","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1967","1967","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1967","1967","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1968","1968","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1968","1968","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1969","1969","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1969","1969","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1970","1970","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1970","1970","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1971","1971","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1971","1971","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1972","1972","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1972","1972","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1973","1973","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1973","1973","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1974","1974","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1974","1974","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1975","1975","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1975","1975","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1976","1976","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1976","1976","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1977","1977","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1977","1977","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1978","1978","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1978","1978","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1979","1979","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1979","1979","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1980","1980","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1980","1980","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1981","1981","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1981","1981","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1982","1982","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1982","1982","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1983","1983","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1983","1983","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1984","1984","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1984","1984","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1985","1985","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1985","1985","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1986","1986","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1986","1986","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1987","1987","t","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1987","1987","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1988","1988","t","4627","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1988","1988","1000 USD","10708","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1989","1989","t","6804","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1989","1989","1000 USD","13765","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1990","1990","t","10169","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1990","1990","1000 USD","17018","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1991","1991","t","10085","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1991","1991","1000 USD","16708","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1992","1992","t","8659","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1992","1992","1000 USD","16678","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1993","1993","t","10090","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1993","1993","1000 USD","19022","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1994","1994","t","12253","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1994","1994","1000 USD","22067","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1995","1995","t","13477","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1995","1995","1000 USD","32238","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1996","1996","t","13007","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1996","1996","1000 USD","27993","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1997","1997","t","13516","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1997","1997","1000 USD","23608","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","1998","1998","t","10759","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export Value","22230.03","Buttermilk, curdled and acidified milk","1998","1998","1000 USD","17353","A","Official figure",""
